2024-09-23 05:45:36.361 WARNING (SyncWorker_0) [homeassistant.loader] We found a custom integration hacs which has not been tested by Home Assistant. This component might cause stability problems, be sure to disable it if you experience issues with Home Assistant
2024-09-23 05:45:36.362 WARNING (SyncWorker_0) [homeassistant.loader] We found a custom integration spook which has not been tested by Home Assistant. This component might cause stability problems, be sure to disable it if you experience issues with Home Assistant
2024-09-23 05:45:36.363 WARNING (SyncWorker_0) [homeassistant.loader] We found a custom integration ui_lovelace_minimalist which has not been tested by Home Assistant. This component might cause stability problems, be sure to disable it if you experience issues with Home Assistant
2024-09-23 05:52:45.429 WARNING (MainThread) [homeassistant.components.http.ban] Login attempt or request with invalid authentication from 192.168.8.110 (192.168.8.110). Requested URL: '/auth/token'. (HomeAssistant-Extensions-PushProvider/2024.9.2 (io.robbie.HomeAssistant.PushProvider; build:2024.863; iOS 18.1.0) Alamofire/5.8.0)
2024-09-23 05:52:45.447 WARNING (MainThread) [homeassistant.components.websocket_api.http.connection] [547490728256] from 192.168.8.110 (Home Assistant/2024.9.2 (io.robbie.HomeAssistant; build:2024.863; iOS 18.1.0)): Disconnected: Received close message during auth phase
2024-09-23 05:53:00.509 WARNING (MainThread) [homeassistant.components.http.ban] Login attempt or request with invalid authentication from 192.168.8.110 (192.168.8.110). Requested URL: '/auth/token'. (HomeAssistant-Extensions-PushProvider/2024.9.2 (io.robbie.HomeAssistant.PushProvider; build:2024.863; iOS 18.1.0) Alamofire/5.8.0)
2024-09-23 05:53:00.525 WARNING (MainThread) [homeassistant.components.websocket_api.http.connection] [547654243312] from 192.168.8.110 (Home Assistant/2024.9.2 (io.robbie.HomeAssistant; build:2024.863; iOS 18.1.0)): Disconnected: Received close message during auth phase
2024-09-23 05:53:05.772 WARNING (MainThread) [homeassistant.components.http.ban] Login attempt or request with invalid authentication from 192.168.8.36 (192.168.8.36). Requested URL: '/auth/token'. (HomeAssistant-Extensions-PushProvider/2024.9.1 (io.robbie.HomeAssistant.PushProvider; build:2024; iOS 18.0.0) Alamofire/5.8.0)
2024-09-23 05:53:05.800 WARNING (MainThread) [homeassistant.components.websocket_api.http.connection] [547490728400] from 192.168.8.36 (Home Assistant/2024.9.1 (io.robbie.HomeAssistant; build:2024; iPadOS 18.0.0)): Disconnected: Received close message during auth phase
2024-09-23 05:53:05.852 WARNING (MainThread) [homeassistant.components.http.ban] Login attempt or request with invalid authentication from 192.168.8.36 (192.168.8.36). Requested URL: '/auth/token'. (HomeAssistant-Extensions-PushProvider/2024.9.1 (io.robbie.HomeAssistant.PushProvider; build:2024; iOS 18.0.0) Alamofire/5.8.0)
2024-09-23 05:53:15.589 WARNING (MainThread) [homeassistant.components.http.ban] Login attempt or request with invalid authentication from 192.168.8.110 (192.168.8.110). Requested URL: '/auth/token'. (HomeAssistant-Extensions-PushProvider/2024.9.2 (io.robbie.HomeAssistant.PushProvider; build:2024.863; iOS 18.1.0) Alamofire/5.8.0)
2024-09-23 05:53:15.607 WARNING (MainThread) [homeassistant.components.websocket_api.http.connection] [547490729120] from 192.168.8.110 (Home Assistant/2024.9.2 (io.robbie.HomeAssistant; build:2024.863; iOS 18.1.0)): Disconnected: Received close message during auth phase
2024-09-23 05:53:30.669 WARNING (MainThread) [homeassistant.components.http.ban] Login attempt or request with invalid authentication from 192.168.8.110 (192.168.8.110). Requested URL: '/auth/token'. (HomeAssistant-Extensions-PushProvider/2024.9.2 (io.robbie.HomeAssistant.PushProvider; build:2024.863; iOS 18.1.0) Alamofire/5.8.0)
